id,y,x
352911873,30.2997153,78.007344
352911877,30.3162853,78.0263666
352911880,30.3158295,78.0366585
448466960,30.3022856,78.0483611
448466963,30.3156986,78.0375826
448466997,30.297413,78.0540951
448467058,30.3176721,78.0395644
448467065,30.1679666,78.1464064
448467088,30.1826042,78.1409122
448467103,30.1796801,78.1347001
448467104,30.3074567,78.0484928
448467127,30.304954,78.0479211
448467133,30.184319,78.1442543
448467173,30.2169243,78.1232957
448467182,30.3153427,78.0426668
448467189,30.1807516,78.1455134
448467219,30.3227747,78.0425349
448467226,30.3039773,78.048121
448467256,30.3266773,78.0332343
448467264,30.2540512,78.0938312
448467280,30.2963315,78.0555338
448467300,30.1759821,78.1242858
448467301,30.1555344,78.144828
448467303,30.3153263,78.0430545
448467306,30.2196833,78.1210926
448467310,30.1117806,78.1694707
448467325,30.3123063,78.0481088
448467346,30.3224745,78.0423504
448467359,30.3093452,78.0488889
449097745,30.0835171,78.2623267
449097753,30.1137166,78.3028367
449097755,30.1064161,78.2983413
449097761,30.107731,78.2999506
449097776,30.1079788,78.3008461
449097780,30.1041825,78.2969238
449097792,30.0911442,78.2743282
449097798,30.1026738,78.2940833
449097809,30.0872542,78.2680312
449097811,30.1034984,78.2959854
449097822,30.0966373,78.2865365
449097826,30.0878024,78.2689154
449097848,30.0963731,78.2862553
449097857,30.0738002,78.2542019
449097865,30.0889427,78.2707461
449097871,30.1054687,78.2975705
449097885,30.092432,78.2783885
449097887,30.106766,78.2986647
449097889,30.084815,78.2641037
449097891,30.1048373,78.297321
449097894,30.0868935,78.2674328
449097970,30.070177,78.2688394
449098022,30.064877,78.2426958
449098032,30.07271,78.27911
449098127,30.0683298,78.2748113
449098191,30.0624417,78.2373052
449098262,30.0618962,78.2363591
449098294,30.0658825,78.2452079
449098326,30.0604355,78.2328174
449098381,30.0678458,78.2477018
449098453,30.0603835,78.2337747
449098458,30.0749958,78.2864798
449098505,30.0712248,78.2768522
449098512,30.0690343,78.2725325
449098567,30.0589969,78.2292685
449098576,30.0646675,78.2422619
449098626,30.075249,78.2858996
506456254,30.3216945,78.0455357
506456257,30.3197576,78.0505165
506456259,30.3180557,78.0502823
506456262,30.3036468,78.0528425
506456263,30.3025057,78.0565171
506456264,30.2978703,78.0534353
506456280,30.2888457,78.0434024
506456282,30.2891668,78.042121
506456289,30.2800271,78.0386413
506456290,30.2879576,78.0327346
506456307,30.2801056,77.991443
506456316,30.2715854,77.9875982
506456320,30.261091,77.9809857
506456321,30.2636805,77.9828886
603715040,30.185826,78.1468217
603715053,30.1872627,78.182191
603715061,30.1895209,78.1976934
603715067,30.1763062,78.2187541
603715069,30.1763793,78.2192018
603715114,30.1159059,78.2834337
603715119,30.1157245,78.2852151
603715122,30.1073585,78.2980572
603715125,30.1111775,78.2944105
603715253,30.1773437,78.2265225
603715258,30.1762614,78.234662
